   1  Pendrive  2  lanus   63.00   1  3570.00 
   3  Cocina  6  lanus   18.00   2  1875.00 
  17  Plancha  7  lanus   36.00   0  3850.00 
  25  Licuadora  7  lanus   74.00   2  3775.00 
  34  Lavarropas  7  lanus   100.00   1  5420.00 
  39  Lavarropas  7  lanus   113.00   1  6070.00 
  59  Licuadora  6  lanus   79.00   1  4370.00 
  61  Cocina  1  lanus   91.00   0  4800.00 
  66  Pendrive  2  lanus   43.00   0  4550.00 
  68  Licuadora  7  lanus   58.00   1  3320.00 
  69  Lavarropas  2  lanus   102.00   0  5350.00 
  73  Radio  2  lanus   43.00   2  4375.00 
  76  Pendrive  3  lanus   74.00   0  3950.00 
 105  Lavarropas  5  lanus   27.00   1  3120.00 
 109  Lavarropas  6  lanus   25.00   2  2575.00 
 112  Plancha  4  lanus   102.00   2  5175.00 
 116  Televisor  4  lanus   60.00   2  3075.00 
 123  Pendrive  5  lanus   27.00   1  3120.00 
 127  Plancha  5  lanus   81.00   1  4470.00 
 133  Cocina  1  lanus   49.00   1  5320.00 
 137  Televisor  4  lanus   51.00   2  2625.00 
 144  Plancha  4  lanus   61.00   2  3125.00 
 148  Pendrive  6  lanus   104.00   0  5450.00 
 155  Lavarropas  5  lanus   114.00   1  6120.00 
 156  Cocina  5  lanus   25.00   2  2575.00 
 157  Televisor  7  lanus   22.00   1  2620.00 
 159  Lavarropas  1  lanus   110.00   1  5920.00 
 172  Licuadora  1  lanus   79.00   2  4025.00 
 179  Televisor  2  lanus   102.00   0  5350.00 
 182  Licuadora  5  lanus   69.00   1  3870.00 
 184  Televisor  7  lanus   46.00   0  4850.00 
 196  Plancha  6  lanus   38.00   1  4220.00 
