   1  Pendrive  2  lanus   63.00   1  0.00 
   3  Cocina  6  lanus   18.00   2  0.00 
  17  Plancha  7  lanus   36.00   0  0.00 
  25  Licuadora  7  lanus   74.00   2  0.00 
  34  Lavarropas  7  lanus   100.00   1  0.00 
  39  Lavarropas  7  lanus   113.00   1  0.00 
  59  Licuadora  6  lanus   79.00   1  0.00 
  61  Cocina  1  lanus   91.00   0  0.00 
  66  Pendrive  2  lanus   43.00   0  0.00 
  68  Licuadora  7  lanus   58.00   1  0.00 
  69  Lavarropas  2  lanus   102.00   0  0.00 
  73  Radio  2  lanus   43.00   2  0.00 
  76  Pendrive  3  lanus   74.00   0  0.00 
 105  Lavarropas  5  lanus   27.00   1  0.00 
 109  Lavarropas  6  lanus   25.00   2  0.00 
 112  Plancha  4  lanus   102.00   2  0.00 
 116  Televisor  4  lanus   60.00   2  0.00 
 123  Pendrive  5  lanus   27.00   1  0.00 
 127  Plancha  5  lanus   81.00   1  0.00 
 133  Cocina  1  lanus   49.00   1  0.00 
 137  Televisor  4  lanus   51.00   2  0.00 
 144  Plancha  4  lanus   61.00   2  0.00 
 148  Pendrive  6  lanus   104.00   0  0.00 
 155  Lavarropas  5  lanus   114.00   1  0.00 
 156  Cocina  5  lanus   25.00   2  0.00 
 157  Televisor  7  lanus   22.00   1  0.00 
 159  Lavarropas  1  lanus   110.00   1  0.00 
 172  Licuadora  1  lanus   79.00   2  0.00 
 179  Televisor  2  lanus   102.00   0  0.00 
 182  Licuadora  5  lanus   69.00   1  0.00 
 184  Televisor  7  lanus   46.00   0  0.00 
 196  Plancha  6  lanus   38.00   1  0.00 
